Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSDARG00000017388	gstt1b	21	15713097	15720534
ENSDARG00000037891	mlx	3	37135516	37148594
ENSDARG00000105083	CHD5	11	29574743	29650930
ENSDARG00000062177	dcbld2	9	30013667	30054178
ENSDARG00000038694	zgc:101744	2	37089362	37103622
ENSDARG00000094271		8	19214207	19216684
ENSDARG00000055036	itih3a.1	11	3614326	3629216
ENSDARG00000068291	tmem208	7	52154215	52158546
ENSDARG00000095001		23	40788357	40796992
ENSDARG00000100584	ccdc40	6	18251140	18292410
ENSDARG00000020473	hddc3	7	50395002	50397968
ENSDARG00000060393	fibcd1b	5	34066591	34185497
ENSDARG00000114520		8	13427678	13428740
ENSDARG00000020101	psmc2	4	14926948	14932359
ENSDARG00000045620	nansa	1	12335816	12344792
ENSDARG00000077817	cxxc4	1	26250729	26294995
ENSDARG00000102488		7	45862631	45863295
ENSDARG00000105642		7	19026314	19027070
ENSDARG00000060534	SGPP1	13	37491804	37519817
ENSDARG00000103960		13	3895363	3907897
ENSDARG00000095325		22	30839702	30841615
ENSDARG00000038072		3	27642078	27663447
ENSDARG00000042969	znf1035	16	25011994	25038855
ENSDARG00000074873	pimr214	4	12348568	12352645
ENSDARG00000101309	cp110	11	45339906	45351824
ENSDARG00000094885		1	24365582	24367412
ENSDARG00000103825	galnt10	21	45880596	45891262
ENSDARG00000009939	micu2	5	36599107	36609700
ENSDARG00000057942	glt8d2	4	9843923	9852318
ENSDARG00000099954	plekhm1	12	4920451	4963153
ENSDARG00000059575	uhmk1	6	35052721	35061467
ENSDARG00000093822		10	35329751	35338595
ENSDARG00000056134	c1qtnf5	15	23369020	23376541
ENSDARG00000101995	GABRG1	13	12174937	12202658
ENSDARG00000078429	vtg4	22	24784013	24791505
ENSDARG00000094591		9	24390887	24394382
ENSDARG00000015016	KIF26A	17	45815353	45989466
ENSDARG00000016825	vtg6	22	24811396	24818066
ENSDARG00000100678	ifnphi4	12	4911907	4916969
ENSDARG00000104440		7	53215678	53231081
ENSDARG00000062929	fam83gb	1	8127675	8141135
ENSDARG00000009430	tmem30c	9	29994439	30007477
ENSDARG00000079050		1	55662491	55668390
ENSDARG00000067997	myhz1.3	5	32262499	32274383
ENSDARG00000039150	lgmn	13	36037970	36050327
ENSDARG00000038028	ndufa6	3	1182315	1186100
ENSDARG00000103769		25	13205878	13207371
ENSDARG00000042410	rab40b	12	32039177	32066470
ENSDARG00000039108	trim35-9	3	8256231	8285123
ENSDARG00000077911	TREH	18	43846936	43866526
ENSDARG00000091548	stard9	17	38476300	38554584
ENSDARG00000062216	narfl	3	18756231	18769951
ENSDARG00000058567	avp	8	1148876	1157380
ENSDARG00000094859	si:dkey-11o15.10	21	15435946	15437612
ENSDARG00000012603	eif3ja	25	31900825	31907672
ENSDARG00000032083	dpysl2b	10	18952271	18992471
ENSDARG00000076639	esamb	15	19353693	19443997
ENSDARG00000042616	sema3h	8	25913787	25951806
ENSDARG00000043705	mob3c	11	13159988	13174477
ENSDARG00000102216	dlg1b	2	4900213	5074812
ENSDARG00000043904	pnrc1	20	1121458	1125395
ENSDARG00000054458	slmapa	11	42304585	42418374
ENSDARG00000103020		6	18142623	18181589
ENSDARG00000102321		21	2246339	2248239
ENSDARG00000098609		22	1491664	1493106
ENSDARG00000098738	scn4aa	12	4869248	4893492
ENSDARG00000059123	plcd1a	24	20372497	20419254
ENSDARG00000033160	nr1d1	3	23488652	23496223
ENSDARG00000104573	slc12a2	10	16225117	16310179
ENSDARG00000013863	fam133b	19	40335271	40347943
ENSDARG00000028824	slc34a1a	14	834619	858987
ENSDARG00000095744	si:dkey-269i1.4	12	16874645	16877136
ENSDARG00000034107	actl6b	23	44472414	44494488
ENSDARG00000040527	siae	18	36582815	36598693
ENSDARG00000101455	si:ch211-284k5.2	25	1035656	1040972
ENSDARG00000086336	si:ch211-157b11.12	6	40707162	40713204
ENSDARG00000088140	hsd17b7	6	34943351	34958274
ENSDARG00000105322	klhdc7a	11	28633717	28639498
ENSDARG00000013734	polr3glb	16	42829735	42843397
ENSDARG00000017369	sema3d	18	9171778	9238675
ENSDARG00000041705	mhc2d8.45b1	8	44373764	44378410
ENSDARG00000067714	hspb3	5	40296551	40297003
ENSDARG00000056678	trim47	10	26118122	26128179
ENSDARG00000002779	pdx1	24	21684189	21686706
ENSDARG00000027355	slc25a4	1	17676745	17679089
ENSDARG00000088192	olfcq2	18	33353271	33357241
ENSDARG00000103833	spink2.2	14	15170667	15171477
ENSDARG00000095273	cox8a	21	28496194	28500704
ENSDARG00000096383		19	22016891	22018606
ENSDARG00000093232		16	30002752	30036693
ENSDARG00000093868		21	15332508	15338620
ENSDARG00000062423	ftcdnl1	9	24208533	24212884
ENSDARG00000003961	parp3	6	42038358	42049350
ENSDARG00000095799		23	44461493	44462527
ENSDARG00000059362	cavin1b	24	7631797	7668158
ENSDARG00000058734	prdx1	2	6104378	6115688
ENSDARG00000026406	anxa5a	14	46410766	46434196
ENSDARG00000098131		7	44895614	44898798
ENSDARG00000045681	irf5	4	13605600	13614936
ENSDARG00000094427		22	9904253	9906790
ENSDARG00000023659	gabpb1	18	81867	92046
ENSDARG00000097425		16	14416346	14417402
ENSDARG00000070404	inka1b	6	53041180	53048291
ENSDARG00000092458	si:dkey-282h22.5	3	15149540	15154871
ENSDARG00000098048		23	33978711	33983380
ENSDARG00000016163	usp33	2	8717155	8777496
ENSDARG00000004406	spra	5	72129708	72136548
ENSDARG00000102959	zgc:171220	21	2178909	2185600
ENSDARG00000093760	si:ch211-197h24.9	16	27603739	27609172
ENSDARG00000055426	rwdd2b	20	26905158	26915916
ENSDARG00000039824	zgc:172182	9	48386928	48407408
ENSDARG00000057322	tmem47	8	18565904	18582922
ENSDARG00000077034	nmnat3	2	39062754	39090286
ENSDARG00000093705	si:dkey-103j14.4	13	23227531	23240577
ENSDARG00000056180		18	33284202	33294131
ENSDARG00000015823	vps26b	15	19324697	19331078
ENSDARG00000095407	si:dkey-9i23.8	1	44802794	44812014
ENSDARG00000102059	si:ch211-117l17.6	22	24287774	24297510
ENSDARG00000022614	ddx43	13	27332656	27354033
ENSDARG00000077301	mlf1	15	1148074	1162658
ENSDARG00000026068	trappc5	1	45663727	45669444
ENSDARG00000101136		3	8046984	8048988
ENSDARG00000039681	samm50l	4	9011448	9025993
ENSDARG00000013750	eno1b	6	40661703	40669406
ENSDARG00000102788		5	1072930	1076431
ENSDARG00000036968		17	53292215	53295507
ENSDARG00000001249	pcgf1	14	5394630	5407555
ENSDARG00000011400	tnnc1a	23	4890693	4895876
ENSDARG00000068149	tprg1l	8	48801402	48809736
ENSDARG00000053744	dcdc2b	13	33304187	33314758
ENSDARG00000100916	uvssa	14	15070494	15155384
ENSDARG00000099427	nkx1.2lb	14	15064870	15068562
ENSDARG00000074289	tuba4l	13	6245219	6252514
ENSDARG00000069189		18	19120984	19124312
ENSDARG00000010010	trim13	9	29642857	29654998
ENSDARG00000078519		22	4884980	4892937
ENSDARG00000069944	p2ry13	15	1134870	1142663
ENSDARG00000014673	fzd9b	18	41648812	41650648
ENSDARG00000112714		2	23573682	23577672
ENSDARG00000019976	idi1	24	3469373	3477103
ENSDARG00000042418	galnt17	15	16521785	16546472
ENSDARG00000051763	sntb2	25	34915576	34938157
ENSDARG00000096859		15	22164549	22251089
ENSDARG00000076983	rnasel4	22	6254194	6258740
ENSDARG00000032808	tdrd7a	1	12195700	12228116
ENSDARG00000076134		19	6896184	6901351
ENSDARG00000100086	adipoqb	2	4490604	4496358
ENSDARG00000063621	aadac	15	1045374	1066269
ENSDARG00000075393	spock2	13	30054996	30132256
ENSDARG00000005593	rxrga	2	20725684	20776841
ENSDARG00000053395	cdkn2aipnl	21	45377211	45382195
ENSDARG00000098176	si:rp71-1h20.5	21	2103164	2130241
ENSDARG00000062721	dennd4a	18	19044839	19103929
ENSDARG00000079912	rapgefl1	3	23334967	23407720
ENSDARG00000101377	ccdc142	14	14847304	14865340
ENSDARG00000045944	slc6a1a	23	4834447	4855122
ENSDARG00000040649	prickle1a	25	314608	348784
ENSDARG00000115897		21	4445750	4448943
ENSDARG00000115596		21	4425164	4428354
ENSDARG00000079415	dnajc30b	15	2589949	2596125
ENSDARG00000099169	cxcl8b.3	7	7819156	7823662
ENSDARG00000029248	fubp1	2	8649293	8663104
ENSDARG00000086658	crygm2d21	9	22298246	22299412
ENSDARG00000102776	cxcl19	7	7806682	7810348
ENSDARG00000009702	ascl1b	7	49695904	49715154
ENSDARG00000039174	OLFM3	2	15341689	15362923
ENSDARG00000013393	guca1b	23	19227296	19230627
ENSDARG00000068305	mrps14	2	35591423	35594184
ENSDARG00000077317	snx29	12	19408373	19659256
ENSDARG00000094771		5	60157256	60159502
ENSDARG00000056642	hdac9b	16	19840146	20006270
ENSDARG00000116970		19	23548906	23550179
ENSDARG00000099561		4	41602678	41613776
ENSDARG00000102824	pcdh10b	14	42978695	43000836
ENSDARG00000056128	fastkd1	9	48232571	48267646
ENSDARG00000035122	camsap1b	5	65613292	65662996
ENSDARG00000099142		11	12930157	12946210
ENSDARG00000013122	maf1a	11	24046179	24056609
ENSDARG00000114172		4	31450683	31501083
ENSDARG00000099730	pkma	18	907266	951570
ENSDARG00000075045	cxcl18b	1	49222164	49225890
ENSDARG00000019498	cry5	10	39264802	39283883
ENSDARG00000012460	rassf4a	13	30664819	30700460
ENSDARG00000079849	nrtn	11	6349443	6386572
ENSDARG00000062887	steap2	24	31832458	31846366
ENSDARG00000045224		4	2252123	2258796
ENSDARG00000098452	si:dkey-151g22.1	4	36616118	36660662
ENSDARG00000105464	si:ch211-285c6.6	7	3461500	3470451
ENSDARG00000069266	esrra	21	26606741	26634099
ENSDARG00000002790	ap2m1a	2	9789811	9818711
ENSDARG00000092846	zgc:162611	25	35097162	35101673
ENSDARG00000077618	rin3	17	33453689	33486030
ENSDARG00000101512	tmx4	17	3993772	4017948
ENSDARG00000105828	or42a8	10	36237981	36240806
ENSDARG00000091143	or80a10	10	36277528	36279141
ENSDARG00000013245	wbp1la	13	28580357	28596765
ENSDARG00000079818	helq	21	19330774	19347524
ENSDARG00000041243	setdb1a	19	9111550	9147533
ENSDARG00000099783	pcdh2ac	14	2123123	2163454
ENSDARG00000092635		21	33973095	33995213
ENSDARG00000038297	aspdh	3	16747317	16760923
ENSDARG00000070097	selenos	7	9308625	9322493
ENSDARG00000003229	gdf9	14	22457230	22464183
ENSDARG00000103536		4	55258968	55268396
ENSDARG00000105373		11	43295275	43297633
ENSDARG00000097111		23	37227206	37432838
ENSDARG00000006617	napga	24	947473	982443
ENSDARG00000055292	atg9b	24	33802528	33839355
ENSDARG00000040607	rtf2	6	56076595	56140968
ENSDARG00000087657	fasn	12	33361948	33472581
ENSDARG00000089525	si:dkeyp-98a7.5	22	25693295	25711403
ENSDARG00000069552	atoh7	13	25449681	25450725
ENSDARG00000070297		25	36369921	36370292
ENSDARG00000045296	cops9	24	26284514	26302375
ENSDARG00000103718	chmp5b	7	59046524	59054322
ENSDARG00000079125	sowahab	14	22447662	22454885
ENSDARG00000010770	sox19a	5	24199180	24201437
ENSDARG00000053068	cyp8b1.1	2	3435888	3437862
ENSDARG00000071790		22	1930589	1935844
ENSDARG00000068127	si:ch211-194e1.9	8	49358744	49375608
ENSDARG00000074379	knstrn	1	11107688	11117930
ENSDARG00000057075	lamtor3	13	12479264	12486076
ENSDARG00000102291	eef1da	2	50999477	51032888
ENSDARG00000036338	vps11	10	29751029	29768556
ENSDARG00000087285	tmem182b	6	14301214	14312611
ENSDARG00000101637	ccnd1	7	54668303	54679595
ENSDARG00000097646		3	32186134	32187385
ENSDARG00000013434	hira	5	18047111	18072844
ENSDARG00000038569	fzd8b	2	47955160	47957673
ENSDARG00000015552		19	15142527	15229421
ENSDARG00000069089	agrp	7	35080490	35083585
ENSDARG00000071652	rrp8	15	15221123	15230264
ENSDARG00000097214		6	17972241	17999751
ENSDARG00000039483	si:dkey-51a16.9	13	25428677	25438298
ENSDARG00000078201	vcam1a	2	7106837	7113911
ENSDARG00000026482	arhgap12b	12	26621906	26726048
ENSDARG00000036155	gla	14	38932441	38946808
ENSDARG00000104270		4	54948890	54951152
ENSDARG00000095775		11	38926724	38928760
ENSDARG00000094433	caspbl	1	58105762	58115298
ENSDARG00000094254		4	5420906	5421470
ENSDARG00000054934	zgc:101765	7	25126629	25129581
ENSDARG00000093440	tnfaip6	9	22764235	22779813
ENSDARG00000041729	sntb1	16	15164983	15263099
ENSDARG00000093192	si:ch211-198m1.1	3	18936006	18967653
ENSDARG00000035151	drll.1	5	61630696	61638125
ENSDARG00000063445	snap47	2	3387390	3403793
ENSDARG00000058995	jmjd4	2	3403264	3414068
ENSDARG00000096972		2	3412076	3416207
ENSDARG00000106515		16	41853715	41855008
ENSDARG00000004745	lmbr1l	23	27703749	27727512
ENSDARG00000105807		7	50810249	50818496
ENSDARG00000087921	plce1	12	5251647	5398578
ENSDARG00000097531		17	46935061	46936696
ENSDARG00000111775		2	36107575	36107637
ENSDARG00000058780	slc9a2	9	6963039	6991650
ENSDARG00000058940	pierce1	8	11542852	11550273
ENSDARG00000016545	CRAT	8	44926629	44976455
ENSDARG00000100706		2	36108185	36108247
ENSDARG00000090948		21	4934090	4950610
ENSDARG00000056601	plekha3	11	29756860	29768054
ENSDARG00000099503		3	5474559	5476283
ENSDARG00000115056		14	21042178	21044540
ENSDARG00000005023	fkbp9	19	42591150	42607451
ENSDARG00000102066	ntn4	7	19334314	19369002
ENSDARG00000009418	mef2cb	5	48179340	48307804
ENSDARG00000004060	bhlhe40	11	35759652	35763323
ENSDARG00000075403	gpha2	7	25109700	25112402
ENSDARG00000042469	ndufa12	4	25829841	25836684
ENSDARG00000115326		22	1821718	1825814
ENSDARG00000016656	mgme1	13	33655404	33658885
ENSDARG00000056036	stxbp1b	5	28972935	29002322
ENSDARG00000038898	zgc:113691	2	26591968	26596794
ENSDARG00000004635	epha7	20	24817118	24963092
ENSDARG00000067626	ywhag1	5	3501859	3545221
ENSDARG00000026350	wasb	8	23560183	23578660
ENSDARG00000076518	mettl1	11	296437	322247
ENSDARG00000075450	mkxa	12	22961894	23009312
ENSDARG00000079238	trim59	15	1574356	1584137
ENSDARG00000103038	pik3r3a	2	2957515	2988713
ENSDARG00000095386		18	44281623	44285539
ENSDARG00000095451		18	24990268	24996647
ENSDARG00000060411	ddx28	7	34963748	34965654
ENSDARG00000009342	txndc5	24	7941373	7957581
ENSDARG00000010700	il17d	9	21363623	21365350
ENSDARG00000014428	ppp2r5d	13	4232568	4303641
ENSDARG00000052779	zgc:153932	12	46120836	46145909
ENSDARG00000025386	lsm14b	23	553396	567183
ENSDARG00000096934		11	32467342	32563722
ENSDARG00000002523	hsdl2	10	11260170	11283239
ENSDARG00000094226		20	43567760	43572763
ENSDARG00000100912	zgc:162297	7	46009862	46019756
ENSDARG00000004176	ulk4	16	5898878	6182429
ENSDARG00000012274	eif4e1c	13	18311410	18324469
ENSDARG00000013221		2	24781026	24866649
ENSDARG00000099554	sec16b	6	23891230	23931442
ENSDARG00000004452	tardbpa	23	29357790	29362845
ENSDARG00000029370	ankrd6b	20	1203238	1239603
ENSDARG00000051926	plag1	7	58730201	58743802
ENSDARG00000052037	trim35-1	1	58039551	58049515
ENSDARG00000023999	heatr5a	17	28624321	28670042
ENSDARG00000094894	tyrobp	16	25196572	25200757
ENSDARG00000095090	tspan37	2	37136662	37140423
ENSDARG00000077372	tfr1b	24	26017094	26031204
ENSDARG00000099028		2	36088658	36088717
ENSDARG00000116470		2	36088047	36088056
ENSDARG00000069496	arl2	7	25047219	25049377
ENSDARG00000116509		2	36087769	36087779
ENSDARG00000037334	dnaaf10	13	1131748	1141171
ENSDARG00000012367	trim46a	16	23353541	23379464
ENSDARG00000043482	b3gnt3.1	8	13534385	13541514
ENSDARG00000098567		1	59252435	59252973
ENSDARG00000009443	amy2al2	17	42983983	42988356
ENSDARG00000056087	ecrg4a	9	6371919	6380653
ENSDARG00000002391	tlcd1	21	26080215	26089964
ENSDARG00000103831	ankrd13c	11	45401608	45420334
ENSDARG00000010958	glmnb	6	28970513	28980829
ENSDARG00000093023		8	49149904	49152475
ENSDARG00000096758		20	24365947	24373933
ENSDARG00000097940	pimr175	17	12255642	12260027
ENSDARG00000045140	lcmt1	12	20378376	20409794
ENSDARG00000078327	cep170bb	20	3108597	3130881
ENSDARG00000113949		6	17178321	17179637
ENSDARG00000093211		9	28722038	28819714
ENSDARG00000061328	cdon	18	44053052	44129151
ENSDARG00000094704	bcl2a	24	28137210	28229618
ENSDARG00000056651	gfra4a	13	14191293	14487524
ENSDARG00000009386	MPP4	21	18976623	18993110
ENSDARG00000101733	fam168b	24	31334209	31347202
ENSDARG00000097929	si:dkey-90a24.1	24	17322644	17325645
ENSDARG00000043066	nog2	24	38814734	38816725
ENSDARG00000058753		22	6952107	6960943
ENSDARG00000096521		15	19688875	19708496
ENSDARG00000041554	unc93a	20	43379029	43389475
ENSDARG00000097706	birc6-as2	17	22687170	22689640
ENSDARG00000090963	atp6ap1lb	23	19558574	19583814
ENSDARG00000075508	si:dkey-108k21.10	25	35050385	35051005
ENSDARG00000094677	si:dkey-92j12.5	1	23161369	23240046
ENSDARG00000018272	wdr33	2	5410432	5443745
ENSDARG00000104572		14	13036560	13048355
ENSDARG00000043644	vkorc1l1	5	2002804	2047801
ENSDARG00000055989	tmem161b	5	48027981	48070779
ENSDARG00000077257	timd4	21	29090652	29100110
ENSDARG00000070916	dnajc27	17	33296436	33309689
ENSDARG00000032849	ndrg1a	19	34959967	34979837
ENSDARG00000038977	slc25a24l	2	9529488	9544161
ENSDARG00000040698	plekha8	16	20265499	20294236
ENSDARG00000100292	cimip2b	10	17077177	17083377
ENSDARG00000070985	mrps21	19	8958134	8962906
ENSDARG00000054690	si:dkey-166k12.1	19	42469058	42485064
ENSDARG00000018534	slc6a9	2	33335911	33422798
ENSDARG00000093602		21	7026893	7035599
ENSDARG00000104195		11	8201842	8208464
ENSDARG00000042630	hebp2	20	30894093	30901034
ENSDARG00000078270		5	54945021	55114917
ENSDARG00000016188	sbno2b	22	17691381	17781213
ENSDARG00000096603	bmb	25	36292057	36310015
ENSDARG00000017490	cel.1	21	11401247	11411365
ENSDARG00000075634	si:ch211-225k7.4	7	4702269	4710229
ENSDARG00000099456		11	35189804	35192601
ENSDARG00000008263	mfsd4ab	23	18103080	18114890
ENSDARG00000097226		6	31069530	31147255
ENSDARG00000092285	CENPV	5	42022826	42071619
ENSDARG00000092894	si:ch211-114l13.9	1	57997535	58002973
ENSDARG00000029639	tomm70a	6	28946041	28961660
ENSDARG00000003165	nr2f6b	11	6115621	6134583
ENSDARG00000070025	dchs1a	15	31981885	32197821
ENSDARG00000102537		7	2180238	2193583
ENSDARG00000037781	acss2	23	9230431	9291892
ENSDARG00000089875	zgc:173705	4	43678985	43689530
ENSDARG00000058477		21	18970857	18972206
ENSDARG00000078821	si:ch211-225k7.5	7	4718382	4723184
ENSDARG00000020924	myo1ca	5	37785152	37817140
ENSDARG00000103074		6	35384191	35393308
ENSDARG00000062636	fem1b	25	1335530	1340562
ENSDARG00000074510	mhc2bl	8	36362898	36370595
ENSDARG00000087293	si:dkey-84h14.1	4	33574463	33679928
ENSDARG00000097662		25	10514209	10543682
ENSDARG00000092067	atn1	16	31853919	31868985
ENSDARG00000096072		4	43376293	43381880
ENSDARG00000005915	tcf3a	2	57310523	57379216
ENSDARG00000004586	ntrk1	16	45796602	45854882
ENSDARG00000035132		5	63767376	63864536
ENSDARG00000061197	armc7	12	26491637	26494851
ENSDARG00000094112	slc22a21	21	45904956	45922066
ENSDARG00000061829	unc13a	22	20195280	20241232
ENSDARG00000028322	pex14	23	28809002	28925757
ENSDARG00000071644		22	6487048	6499077
ENSDARG00000028354	stxbp6l	20	9828769	9848953
ENSDARG00000060383	mmaa	1	35956435	35970259
ENSDARG00000087779	pum3	10	15321522	15340450
ENSDARG00000036041	f2	7	38750871	38760158
ENSDARG00000092131		5	40699830	40700987
ENSDARG00000099388		7	38756326	38767909
ENSDARG00000100725	ephb4a	5	68408346	68495967
ENSDARG00000077926	nopchap1	4	9051588	9054947
ENSDARG00000099708	CACNA1H	1	8304904	8404005
ENSDARG00000030494	hjv	16	42883799	42894628
ENSDARG00000068098	si:ch211-198o12.4	8	51341612	51349431
ENSDARG00000039352	pald1b	13	30169233	30214368
ENSDARG00000028275	sult1st1	8	46499098	46509194
ENSDARG00000043902	gabrr1	20	1132092	1151265
ENSDARG00000056627	cxcl14	14	24400799	24410673
ENSDARG00000027638	adra1ab	10	18999841	19011934
ENSDARG00000051861	pkp3a	25	22151271	22191983
ENSDARG00000056009		18	33464345	33473581
ENSDARG00000105403		3	36744518	36764865
ENSDARG00000027495	elovl4b	23	40410644	40438581
ENSDARG00000076964	cables2a	23	30898013	30919307
ENSDARG00000058297	timm13	22	10771115	10774735
ENSDARG00000105613		7	29822214	29823603
ENSDARG00000095235		5	17040621	17041288
ENSDARG00000104940	ciao2a	25	1131420	1134165
ENSDARG00000093535		10	41982998	41986326
ENSDARG00000042409	ralgds	8	30949968	30979494
ENSDARG00000055857	DOP1B	9	33154841	33195586
ENSDARG00000025338	hagh	3	18774511	18792534
ENSDARG00000077666	evi5a	2	10709557	10760516
ENSDARG00000105580		7	38144619	38145828
ENSDARG00000062532		13	18073211	18122333
ENSDARG00000100970		2	17556177	17559123
ENSDARG00000016010	nup107	4	22730795	22749553
ENSDARG00000092998	si:ch211-202f5.3	5	57480014	57485614
ENSDARG00000033251	osbpl3a	19	19988869	20033047
ENSDARG00000097512		17	24309951	24318521
ENSDARG00000062204	sigirr	25	22107643	22146309
ENSDARG00000023299	snu13b	12	10443785	10447178
ENSDARG00000100170	PAM	10	5689510	5787286
ENSDARG00000007285	mrpl57	17	26608510	26610862
ENSDARG00000071463	zgc:154125	24	38534550	38545290
ENSDARG00000052721	prim2	13	23488282	23612369
ENSDARG00000015955	cldn3d	21	25754268	25756119
ENSDARG00000040027	osbpl10b	16	39271123	39386073
ENSDARG00000095534		8	41571030	41572158
ENSDARG00000092948		22	21972824	21984064
ENSDARG00000097553		2	12798366	12802906
ENSDARG00000100368		14	5560755	5563191
ENSDARG00000088245		4	32772213	32783867
ENSDARG00000102130		4	52671243	52672302
ENSDARG00000057586	sall3b	19	22062202	22074081
ENSDARG00000037238	smad5	14	26467120	26498325
ENSDARG00000057098	htr1ab	21	20949976	20951413
ENSDARG00000088307	mrtfba	12	19976400	20045101
ENSDARG00000037259	ndufb6	1	26099250	26103232
ENSDARG00000020218	amfra	25	36197733	36217563
ENSDARG00000098681		22	1323514	1329146
ENSDARG00000032155	ppm1aa	13	31545530	31580190
ENSDARG00000097107		16	29903644	29908970
ENSDARG00000101886	pdxdc1	3	36616713	36644776
ENSDARG00000063008		4	9784301	9810999
ENSDARG00000075670	rereb	6	40671336	40689042
ENSDARG00000090673		22	4947923	4957762
ENSDARG00000011510	rcc2	23	21520769	21535040
ENSDARG00000001414	mctp2a	18	23373683	23456101
ENSDARG00000040555	bckdha	18	36066389	36081908
ENSDARG00000004307	lypd6	9	23071149	23118350
ENSDARG00000105435		11	41110669	41157954
ENSDARG00000074863	TMEM132C	21	18597927	18824434
ENSDARG00000092311		5	41874958	41875834
ENSDARG00000096649		1	55583116	55587666
ENSDARG00000054124	htr1d	17	28166859	28198099
ENSDARG00000046133	b3galnt2	13	49774315	49819027
ENSDARG00000098497	hrasa	25	25395590	25434479
ENSDARG00000097875		14	44013419	44208429
ENSDARG00000086091	kcnn4	16	24743871	24819860
ENSDARG00000023591	nrbf2b	12	8569685	8579727
ENSDARG00000018619		2	56356652	56387041
ENSDARG00000025301	gfap	3	31792441	31804481
ENSDARG00000116095		19	23767577	23768865
ENSDARG00000006889	mpped2a	7	16348835	16461232
ENSDARG00000026829	cotl1	18	13203831	13216672
ENSDARG00000102176	pla1a	9	21214940	21226132
ENSDARG00000045159	zdhhc4	12	18571455	18578432
ENSDARG00000105463		11	37297501	37298097
ENSDARG00000069922	popdc2	9	21222428	21231297
ENSDARG00000044155	mafaa	6	32699359	32703317
ENSDARG00000062442	meiob	12	18529228	18543726
ENSDARG00000045401	mllt10	24	17140938	17216312
ENSDARG00000042880	si:ch211-222f23.6	9	1485234	1499721
ENSDARG00000044512	ca4c	21	31275327	31290582
ENSDARG00000003169	magi1b	11	18873113	19091767
ENSDARG00000095918		22	6284038	6287488
ENSDARG00000076294	klb	14	740032	750043
ENSDARG00000097441		9	29652041	29662625
ENSDARG00000076627	smg9	16	24721556	24733321
ENSDARG00000094605		5	69981453	70065490
ENSDARG00000019549	cds1	5	40009958	40040488
ENSDARG00000095442		19	23637789	23641331
ENSDARG00000023117	gopc	20	42246948	42281434
ENSDARG00000040730	wdr75	9	41120158	41156972
ENSDARG00000092808		10	5525393	5527364
ENSDARG00000094478	si:ch1073-75o15.4	9	8380728	8385896
ENSDARG00000016302	upf1	2	56168619	56237133
ENSDARG00000089314		12	4733892	4781821
ENSDARG00000093243		2	24484275	24497841
ENSDARG00000039827	bbs5	9	48284606	48296469
ENSDARG00000054666	pgpep1	2	56139941	56162607
ENSDARG00000100721		3	7987111	7997887
ENSDARG00000029088	guf1	14	4295933	4321874
ENSDARG00000089043	ptpn6	16	31720042	31756963
ENSDARG00000092257		20	18559913	18563299
ENSDARG00000007576	crybb1l1	14	46301973	46310549
ENSDARG00000094878		21	4429001	4445504
ENSDARG00000005162	tpm3	19	10985369	11031394
ENSDARG00000101768		2	31880194	31880632
ENSDARG00000095195		22	6198742	6199711
ENSDARG00000032802	ktn1	17	43926523	44002032
ENSDARG00000088390	nme4	3	15068321	15082475
ENSDARG00000067850	jund	2	56125174	56131312
ENSDARG00000037033	ptger2b	20	9683994	9694666
ENSDARG00000029544	id2b	20	29784927	29787210
ENSDARG00000044422	acvr2ba	24	41167269	41220538
ENSDARG00000097445		6	39370587	39378733
ENSDARG00000031698	mylk2	23	32039386	32060885
ENSDARG00000103667	gga3a	6	19315715	19333947
ENSDARG00000102098		4	41994717	41998697
ENSDARG00000105393	zgc:112234	7	6459019	6459481
ENSDARG00000026875	tlcd3ba	3	21044154	21062778
ENSDARG00000078701	prdm13	16	32749591	32755900
ENSDARG00000105345	zgc:173552	7	6429632	6430101
ENSDARG00000056917	si:rp71-45g20.4	9	27855684	27857413
ENSDARG00000007406	phox2a	15	47440477	47449248
ENSDARG00000091777	mapkap1	5	5398966	5499956
ENSDARG00000002396	cry-dash	24	20194022	20208474
ENSDARG00000074589	rin2a	13	27232694	27296949
ENSDARG00000007359	UBL4A	8	50953776	50962889
ENSDARG00000030350	mnx2b	1	5449777	5455502
ENSDARG00000037142	cfap96	14	29775402	29795189
ENSDARG00000014545	golim4b	2	36701322	36721289
ENSDARG00000088029	olfcn1	18	33171765	33176689
ENSDARG00000101028	FNBP1	21	6290566	6377890
ENSDARG00000104891	si:dkey-109j17.5	23	19202636	19206419
ENSDARG00000100439	FAM177A1	20	12702923	12722351
ENSDARG00000093954	si:dkey-9i23.16	1	44941031	44946224
ENSDARG00000095245		24	5826005	5838323
ENSDARG00000091905	si:dkey-108k21.21	25	35103413	35104129
ENSDARG00000097784		17	6822337	6826156
ENSDARG00000056922	LTBP1	17	22956427	23116523
ENSDARG00000077602		3	1572850	1576295
ENSDARG00000105061	si:ch73-261i21.5	10	29793817	29809105
ENSDARG00000021137	adgrv1	5	48683447	48940127
ENSDARG00000056633	fgf13b	10	26716362	26744166
ENSDARG00000000567	znf281a	3	38762891	38783951
ENSDARG00000074776	tmem154	1	25154076	25177225
ENSDARG00000079027	chsy1	7	9326234	9511298
ENSDARG00000037883	prcp	15	11218246	11303691
ENSDARG00000077060		6	42666694	42690736
